EstablecimientoCodigo,RegionCodigo,ComunaCodigo,ServicioSaludCodigo,NivelAtencion,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,NumTotal,TipoEstablecimiento_Centro de Diagnóstico y Terapeútico (CDT),TipoEstablecimiento_Centro de Salud Familiar (CESFAM),TipoEstablecimiento_Hospital,TipoEstablecimiento_Hospital ,TipoEstablecimiento_Servicio de Atención Primaria de Urgencia (SAPU),TipoEstablecimiento_Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),TipoEstablecimiento_Servicio de Urgencia Rural (SUR),DependenciaAdministrativa_Delegados ,DependenciaAdministrativa_Municipal,DependenciaAdministrativa_Municipal ,DependenciaAdministrativa_Otra Institución,DependenciaAdministrativa_Servicio de Salud,TipoUrgencia_NO APLICA,TipoUrgencia_PENDIENTE,TipoUrgencia_URGENCIA AMBULATORIA,TipoUrgencia_URGENCIA AMBULATORIA (SAPU),TipoUrgencia_URGENCIA AMBULATORIA (SAR),TipoUrgencia_URGENCIA AMBULATORIA (SUR),TipoUrgencia_URGENCIA ESPECIALIZADA,TipoUrgencia_URGENCIA HOSPITALARIA (UEH),Causa_Bronquitis/Bronquiolitis aguda (J20-J21),"Causa_COVID-19, virus identificado (U07.1)","Causa_COVID-19, virus no identificado (U07.2)",Causa_Crisis obstructiva bronquial (J40-J46),Causa_IRA alta (J00-J06),Causa_Influenza (J09-J11),Causa_Neumonía (J12-J18),"Causa_Otra causa respiratoria (J22, J30-J39, J47, J60-J98)"
200144,13,13110,14,1,1.0,2016,2,9,3,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
102807,1,1107,2,1,1.0,2014,36,4,93,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
200177,8,8301,20,1,1.0,2025,25,4,57,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
122105,14,14204,22,1,1.0,2018,13,8,6,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
113812,13,13105,13,1,1.0,2022,45,7,48,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
109805,13,13107,9,1,1.0,2016,44,5,1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
118810,8,8101,18,1,1.0,2019,31,5,8,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
116809,7,7401,16,1,1.0,2021,7,5,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
114805,13,13110,14,1,1.0,2017,46,6,13,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
200117,13,13106,11,1,1.0,2024,35,9,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
105105,4,4302,5,1,1.0,2021,40,8,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
108100,5,5701,8,3,3.0,2025,50,34,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
200774,7,7110,16,1,1.0,2023,33,7,30,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
200167,10,10101,24,1,1.0,2019,2,5,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
118817,8,8101,18,1,1.0,2024,32,5,4,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
